Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Total_cases	Overall_percent
USF3	28	6.54206	6	3.87097	34	5.8319
WDFY3	28	6.54206	6	3.87097	34	5.8319
ADAMTS9	27	6.30841	6	3.87097	33	5.66038
ADAMTSL1	29	6.7757	4	2.58065	33	5.66038
ADCY2	24	5.60748	9	5.80645	33	5.66038
ADGRB1	24	5.60748	9	5.80645	33	5.66038
AKAP13	29	6.7757	4	2.58065	33	5.66038
ALK	30	7.00935	3	1.93548	33	5.66038
ARHGAP21	25	5.84112	8	5.16129	33	5.66038
ASTN2	23	5.37383	10	6.45161	33	5.66038
CACNA2D3	24	5.60748	9	5.80645	33	5.66038
CCDC73	26	6.07477	7	4.51613	33	5.66038
CDH18	28	6.54206	5	3.22581	33	5.66038
CHD5	27	6.30841	6	3.87097	33	5.66038
DAAM2	24	5.60748	9	5.80645	33	5.66038
ENAM	25	5.84112	8	5.16129	33	5.66038
EP300	26	6.07477	7	4.51613	33	5.66038
FER1L6	26	6.07477	7	4.51613	33	5.66038
FILIP1	26	6.07477	7	4.51613	33	5.66038
FLRT2	24	5.60748	9	5.80645	33	5.66038
FRMPD1	23	5.37383	10	6.45161	33	5.66038
GABRA5	26	6.07477	7	4.51613	33	5.66038
GRM5	28	6.54206	5	3.22581	33	5.66038
HELZ2	31	7.24299	2	1.29032	33	5.66038
HSPG2	30	7.00935	3	1.93548	33	5.66038
ICE1	25	5.84112	8	5.16129	33	5.66038
IRS4	28	6.54206	5	3.22581	33	5.66038
KIAA1217	28	6.54206	5	3.22581	33	5.66038
LAMA4	29	6.7757	4	2.58065	33	5.66038
LARP4B	31	7.24299	2	1.29032	33	5.66038
MTUS2	29	6.7757	4	2.58065	33	5.66038
MYH11	25	5.84112	8	5.16129	33	5.66038
MYH13	28	6.54206	5	3.22581	33	5.66038
MYO7A	28	6.54206	5	3.22581	33	5.66038
NSD1	27	6.30841	6	3.87097	33	5.66038
NUGGC	29	6.7757	4	2.58065	33	5.66038
PCDHA6	23	5.37383	10	6.45161	33	5.66038
SHANK1	27	6.30841	6	3.87097	33	5.66038
SIPA1L1	29	6.7757	4	2.58065	33	5.66038
SLC4A3	25	5.84112	8	5.16129	33	5.66038
SLIT1	29	6.7757	4	2.58065	33	5.66038
SPTBN1	31	7.24299	2	1.29032	33	5.66038
STAB2	27	6.30841	6	3.87097	33	5.66038
SYCP2	27	6.30841	6	3.87097	33	5.66038
TCF20	29	6.7757	4	2.58065	33	5.66038
TULP4	28	6.54206	5	3.22581	33	5.66038
VPS13D	27	6.30841	6	3.87097	33	5.66038
ZNF518A	26	6.07477	7	4.51613	33	5.66038
ZNF804A	27	6.30841	6	3.87097	33	5.66038
ABCA2	27	6.30841	5	3.22581	32	5.48885
ATG2B	26	6.07477	6	3.87097	32	5.48885
AXIN2	27	6.30841	5	3.22581	32	5.48885
BRINP3	27	6.30841	5	3.22581	32	5.48885
CACNA1G	29	6.7757	3	1.93548	32	5.48885
CALD1	25	5.84112	7	4.51613	32	5.48885
CDH12	23	5.37383	9	5.80645	32	5.48885
CDH2	27	6.30841	5	3.22581	32	5.48885
CFH	27	6.30841	5	3.22581	32	5.48885
