Gene	COAD_cases	COAD_percent	READ_cases	READ_percent
DSP	26	6.07477	4	2.58065
ELOA2	26	6.07477	3	1.93548
EP300	26	6.07477	7	4.51613
FER1L6	26	6.07477	7	4.51613
FILIP1	26	6.07477	7	4.51613
FSIP2	26	6.07477	4	2.58065
FSTL5	26	6.07477	6	3.87097
GABRA5	26	6.07477	7	4.51613
GRIK3	26	6.07477	6	3.87097
GRM7	26	6.07477	9	5.80645
KCNB1	26	6.07477	4	2.58065
KCNH1	26	6.07477	4	2.58065
KSR2	26	6.07477	3	1.93548
MARF1	26	6.07477	2	1.29032
MECOM	26	6.07477	4	2.58065
MYLK	26	6.07477	5	3.22581
NF1	26	6.07477	9	5.80645
PCDH19	26	6.07477	10	6.45161
PCDH7	26	6.07477	1	0.645161
PCDHA13	26	6.07477	10	6.45161
PCDHA3	26	6.07477	5	3.22581
PHF20L1	26	6.07477	3	1.93548
POLD1	26	6.07477	3	1.93548
PPL	26	6.07477	1	0.645161
SEC16A	26	6.07477	0	0
SETBP1	26	6.07477	5	3.22581
SMARCAD1	26	6.07477	6	3.87097
SOGA3	26	6.07477	5	3.22581
SORCS1	26	6.07477	11	7.09677
TET1	26	6.07477	8	5.16129
TNN	26	6.07477	6	3.87097
TOGARAM2	26	6.07477	3	1.93548
TRPM6	26	6.07477	8	5.16129
UTP20	26	6.07477	3	1.93548
ZNF318	26	6.07477	4	2.58065
ZNF518A	26	6.07477	7	4.51613
ZNF835	26	6.07477	3	1.93548
ABCA7	25	5.84112	3	1.93548
ABCC1	25	5.84112	6	3.87097
ADAMTS5	25	5.84112	4	2.58065
ADCY5	25	5.84112	2	1.29032
ALPK2	25	5.84112	5	3.22581
AMOTL1	25	5.84112	5	3.22581
ARHGAP21	25	5.84112	8	5.16129
ARHGAP31	25	5.84112	2	1.29032
ARHGAP35	25	5.84112	4	2.58065
ASTN1	25	5.84112	10	6.45161
ASXL1	25	5.84112	4	2.58065
CALD1	25	5.84112	7	4.51613
CASZ1	25	5.84112	5	3.22581
CDH11	25	5.84112	2	1.29032
CDH4	25	5.84112	5	3.22581
CDON	25	5.84112	5	3.22581
CHD1	25	5.84112	4	2.58065
COL4A5	25	5.84112	6	3.87097
DIP2C	25	5.84112	3	1.93548
EIF3A	25	5.84112	4	2.58065
EML5	25	5.84112	5	3.22581
ENAM	25	5.84112	8	5.16129
EPB41L3	25	5.84112	3	1.93548
FRMD4A	25	5.84112	1	0.645161
GRIK4	25	5.84112	1	0.645161
GRM1	25	5.84112	5	3.22581
GRM6	25	5.84112	2	1.29032
HCN4	25	5.84112	3	1.93548
HECW2	25	5.84112	7	4.51613
HLA-B	25	5.84112	1	0.645161
