ARHGAP5	24	5
ATAD5	24	4
ATP8A2	24	6
BAHCC1	24	2
BAZ1A	24	3
BIVM-ERCC5	24	5
BLM	24	4
CACHD1	24	6
CACNA2D3	24	9
CAD	24	3
CEP162	24	3
COL4A6	24	1
CROCC	24	3
CTNNA1	24	3
CTNNA3	24	3
DAAM2	24	9
DDX60L	24	5
DIP2A	24	2
DOCK1	24	5
DOCK10	24	7
DOCK11	24	5
FANCM	24	6
FLRT2	24	9
GSE1	24	3
HIVEP2	24	6
HTT	24	4
KCNA5	24	5
KDM2B	24	5
KDR	24	7
KIAA1549L	24	5
KIF13A	24	2
LCOR	24	4
LRFN5	24	6
LRRK1	24	6
MAP2K4	24	6
MCF2	24	5
MSH6	24	6
MYH15	24	5
NCAM1	24	6
NCAPD3	24	2
NLGN4X	24	6
NOS3	24	2
NPHS1	24	5
NRK	24	8
NUP98	24	3
OSMR	24	2
PCDHA1	24	3
PCDHA4	24	6
PCDHB9	24	3
PDGFRA	24	4
PDS5B	24	3
PHF2	24	2
PIKFYVE	24	6
PLCE1	24	6
PLEKHA6	24	2
PLXNA2	24	5
PRDM10	24	2
PREX1	24	6
PRPF8	24	3
PRR12	24	2
PTCH1	24	3
PTPRM	24	10
RGS22	24	7
SETD2	24	8
SPECC1	24	4
SULF1	24	7
SZT2	24	7
TMEM132B	24	5
TSHZ2	24	8
USP24	24	4
WNK2	24	1
WNK3	24	7
XIRP1	24	3
ZNF462	24	6
ZNF646	24	5
A2M	23	7
ABCA3	23	3
ADCY1	23	6
ADGRB2	23	2
AHDC1	23	1
AKAP11	23	3
ALS2	23	3
ANKHD1-EIF4EBP3	23	6
ARFGEF2	23	5
ARMC4	23	5
ASTN2	23	10
ATP2B3	23	4
B2M	23	5
BRWD1	23	6
CACNA1S	23	6
CACNA2D1	23	4
CAMTA1	23	4
CAMTA2	23	0
CCDC88A	23	7
CD163	23	5
CDH12	23	9
CELSR3	23	4
CHRM2	23	4
CKAP5	23	3
